timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [1000 mb],Basel Temperature [850 mb],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180405T2100,8.140529,8.91,-1.11,70.0,8.373386,295.46335
20180405T2200,7.3205285,8.45,-1.23,74.0,3.6179552,264.28943
20180405T2300,7.2505283,8.22,-1.17,74.0,4.32,180.0
20180406T0000,6.6305285,7.96,-1.1,76.0,7.386582,136.97493
20180406T0100,5.1005287,7.5,-1.07,84.0,8.78872,124.99202
20180406T0200,4.2705283,7.19,-0.97,86.0,9.339208,117.55281
20180406T0300,3.7005286,5.92,-0.59,82.0,12.10157,112.75097
20180406T0400,3.0905285,4.6,0.14,82.0,12.641076,109.9831
20180406T0500,2.6705287,4.53,1.25,83.0,12.10157,112.75097
20180406T0600,2.5505285,4.41,2.17,83.0,11.298495,112.47943
20180406T0700,2.6105285,4.21,2.96,85.0,12.10157,112.75097
20180406T0800,3.9605286,4.65,3.98,80.0,14.689589,107.10272
20180406T0900,6.4305286,6.42,5.07,70.0,23.241617,106.1892
20180406T1000,8.500529,8.14,5.93,62.0,24.884306,104.23728
20180406T1100,10.630529,10.0,6.53,52.0,25.068514,102.43956
20180406T1200,12.540529,11.72,7.09,45.0,24.798223,103.43102
20180406T1300,14.250529,13.34,7.74,43.0,23.233253,102.52881
20180406T1400,16.63053,15.84,8.09,39.0,22.007162,105.17291
20180406T1500,17.740528,17.02,8.75,39.0,20.275385,106.50436
20180406T1600,18.55053,18.06,9.36,39.0,18.792551,106.69924
20180406T1700,19.05053,18.83,9.68,39.0,18.0,106.2602
20180406T1800,18.96053,19.14,9.95,39.0,17.811815,104.03624
20180406T1900,18.180529,18.94,10.12,43.0,15.463244,102.09476
20180406T2000,16.250528,18.04,10.45,50.0,14.264361,100.17551
20180406T2100,13.650529,17.09,10.76,60.0,12.181625,108.9704
20180406T2200,11.330529,15.48,10.81,70.0,10.799999,126.869896
20180406T2300,10.660529,13.71,11.08,66.0,13.18308,124.99202
20180407T0000,10.480529,12.7,11.28,70.0,15.778516,124.77783
20180407T0100,9.450529,11.59,11.32,73.0,15.9134655,127.64761
20180407T0200,8.990529,10.96,11.41,72.0,15.349684,129.2894
20180407T0300,8.700529,10.77,11.27,70.0,15.03835,132.08916
20180407T0400,8.490529,10.93,11.11,66.0,14.291592,130.91438
20180407T0500,7.9305286,10.84,11.27,64.0,14.480773,124.87533
20180407T0600,7.1605287,10.43,11.16,67.0,14.512064,119.74488
20180407T0700,5.9005284,9.09,11.45,71.0,14.48972,116.56505
20180407T0800,6.1205287,8.32,11.82,71.0,15.646544,113.02549
20180407T0900,8.090529,8.99,11.91,68.0,15.937878,108.434944
20180407T1000,11.250529,11.1,12.14,62.0,15.893093,103.09189
20180407T1100,14.070529,13.77,11.86,58.0,11.659777,98.88065
20180407T1200,16.520529,16.09,11.5,49.0,7.2805495,81.46923
20180407T1300,18.420528,17.94,11.59,43.0,4.0249224,63.43495
20180407T1400,20.62053,20.17,11.27,42.0,3.4152596,71.56504
20180407T1500,21.770529,21.4,11.41,37.0,3.6,53.130096
20180407T1600,22.47053,22.27,11.74,35.0,4.1046314,52.125
20180407T1700,22.830528,22.92,12.06,34.0,6.6185193,67.61986
20180407T1800,22.81053,23.28,12.13,35.0,9.255571,76.504265
20180407T1900,22.190529,23.3,12.33,40.0,7.9526596,84.805565
20180407T2000,21.04053,22.9,12.37,48.0,9.726665,92.12109
