location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.46420,78.46420,78.46420,78.46420,78.46420,78.46420
asl,521.600,521.600,521.600,521.600,521.600,521.600
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Hyderabad Temperature [2 m elevation corrected],Hyderabad Precipitation Total,Hyderabad Relative Humidity [2 m],Hyderabad Mean Sea Level Pressure [MSL],Hyderabad Wind Speed [10 m],Hyderabad Wind Gust
20211004T1000,28.8929,0.0,65.0,1009.4,5.4833565,7.2
20211004T1100,29.6329,0.0,61.0,1008.4,5.904439,7.2
20211004T1200,30.3129,0.0,58.0,1007.7,6.12,7.5599995
20211004T1300,29.5729,0.0,60.0,1007.1,7.0911775,8.28
20211004T1400,29.4929,0.2,59.0,1006.7,6.28713,7.2
20211004T1500,29.7529,0.0,58.0,1006.1,6.379216,7.5599995
20211004T1600,29.582901,0.0,58.0,1006.4,8.12197,9.0
20211004T1700,29.6729,0.3,57.0,1006.4,9.904906,10.08
20211004T1800,28.6329,0.1,63.0,1007.1,8.654986,14.4
20211004T1900,27.7529,0.0,69.0,1008.1,7.8625183,15.84
20211004T2000,27.0529,0.0,72.0,1008.8,7.289444,14.4
20211004T2100,26.4929,0.0,75.0,1009.6,7.42159,7.92
20211004T2200,25.9829,0.0,78.0,1009.3,7.8625183,8.64
20211004T2300,25.8129,0.0,79.0,1008.9,8.4042845,17.64
20211005T0000,25.582901,0.0,80.0,1008.6,8.311245,17.64
20211005T0100,25.2329,0.0,82.0,1008.0,7.928178,9.36
20211005T0200,24.5729,0.0,85.0,1007.7,7.6367526,15.4800005
20211005T0300,24.0729,0.0,87.0,1007.3,7.072878,17.64
20211005T0400,23.6929,0.0,89.0,1007.9,7.172949,16.56
20211005T0500,23.3529,0.0,91.0,1008.7,7.289444,15.119999
20211005T0600,23.1929,0.0,92.0,1009.2,7.0911775,14.04
20211005T0700,24.3929,0.0,88.0,1010.0,9.255571,13.679999
20211005T0800,25.9329,0.0,82.0,1010.4,9.826088,12.24
20211005T0900,27.2829,0.0,74.0,1010.7,10.390226,12.959999
20211005T1000,28.4729,0.0,66.0,1010.0,10.163227,12.24
20211005T1100,29.4429,0.0,61.0,1009.0,9.227524,12.24
20211005T1200,30.1929,0.0,58.0,1008.4,7.8954163,11.5199995
20211005T1300,30.6029,0.0,57.0,1007.5,7.928177,11.5199995
20211005T1400,30.5329,0.0,55.0,1007.0,9.726664,12.959999
20211005T1500,30.5629,0.0,54.0,1006.4,10.296251,12.599999
20211005T1600,29.9029,0.2,56.0,1006.9,10.948973,13.679999
20211005T1700,28.7429,0.0,61.0,1007.5,11.753877,15.4800005
20211005T1800,27.8429,0.0,65.0,1008.2,8.854829,12.959999
20211005T1900,27.0929,0.0,70.0,1009.0,8.049845,14.04
20211005T2000,26.3529,0.0,74.0,1009.6,7.9036193,14.4
20211005T2100,25.7129,0.0,77.0,1010.4,7.289445,14.4
20211005T2200,25.1129,0.0,81.0,1010.2,6.696387,13.679999
20211005T2300,24.5929,0.0,84.0,1009.7,6.4096174,16.199999
20211006T0000,24.1529,0.0,86.0,1009.4,6.696387,16.919998
