location,Patna,Patna,Patna,Patna,Patna,Patna
lat,25.61087,25.61087,25.61087,25.61087,25.61087,25.61087
lon,85.18255,85.18255,85.18255,85.18255,85.18255,85.18255
asl,44.000,44.000,44.000,44.000,44.000,44.000
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Patna Temperature [2 m elevation corrected],Patna Precipitation Total,Patna Relative Humidity [2 m],Patna Mean Sea Level Pressure [MSL],Patna Wind Speed [10 m],Patna Wind Gust
20211007T0500,26.5615,0.0,77.0,1006.3,1.8,1.8
20211007T0600,26.9815,0.0,77.0,1007.0,1.8,1.8
20211007T0700,29.1115,0.0,73.0,1007.5,1.1384199,1.8
20211007T0800,31.2115,0.0,64.0,1007.8,1.4399999,5.3999996
20211007T0900,31.9815,0.0,56.0,1007.7,3.8939953,7.2
20211007T1000,32.7615,0.0,53.0,1006.8,6.489992,9.36
20211007T1100,33.4015,0.0,51.0,1005.6,7.289445,10.08
20211007T1200,33.801502,0.0,50.0,1004.4,8.217153,10.799999
20211007T1300,34.1315,0.0,48.0,1003.6,9.659814,11.879999
20211007T1400,34.271503,0.0,47.0,1002.8,11.298495,12.24
20211007T1500,33.9515,0.0,48.0,1002.2,11.753877,13.32
20211007T1600,33.2915,0.0,50.0,1002.3,11.113451,12.599999
20211007T1700,31.8415,0.0,53.0,1002.7,7.24486,11.159999
20211007T1800,31.2215,0.0,55.0,1003.2,6.6185193,14.04
20211007T1900,30.5315,0.0,58.0,1003.7,6.830519,14.4
20211007T2000,29.8715,0.0,61.0,1004.4,6.725354,14.759999
20211007T2100,29.2715,0.0,63.0,1004.8,6.924738,14.04
20211007T2200,28.6815,0.0,66.0,1004.6,6.489992,12.959999
20211007T2300,28.161499,0.0,68.0,1004.5,5.4477882,10.799999
20211008T0000,27.661499,0.0,70.0,1004.4,5.4833565,9.0
20211008T0100,27.1915,0.0,71.0,1004.5,5.3999996,6.8399997
20211008T0200,26.7215,0.0,73.0,1004.3,5.8603754,5.7599998
20211008T0300,26.3015,0.0,75.0,1004.3,5.6233797,5.04
20211008T0400,25.9415,0.0,76.0,1004.8,5.3517847,4.32
