location,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi
lat,28.69986,28.69986,28.69986,28.69986,28.69986,28.69986
lon,77.22596,77.22596,77.22596,77.22596,77.22596,77.22596
asl,203.800,203.800,203.800,203.800,203.800,203.800
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Delhi Temperature [2 m elevation corrected],Delhi Precipitation Total,Delhi Relative Humidity [2 m],Delhi Mean Sea Level Pressure [MSL],Delhi Wind Speed [10 m],Delhi Wind Gust
20211013T1900,30.649199,0.0,22.0,1005.1,8.854829,15.119999
20211013T2000,29.5292,0.0,24.0,1005.8,8.557102,17.28
20211013T2100,28.249199,0.0,27.0,1006.2,8.825508,22.319998
20211013T2200,27.5192,0.0,28.0,1006.1,9.0645685,23.4
20211013T2300,26.7692,0.0,29.0,1006.1,9.007196,24.48
20200930T0000,30.239199,0.0,19.0,1003.7,9.178235,20.519999
20200930T0100,29.2792,0.0,20.0,1003.8,9.0,22.319998
20200930T0200,28.159199,0.0,21.0,1003.4,9.028754,21.96
20200930T0300,26.8492,0.0,23.0,1003.0,9.178235,20.519999
20200930T0400,25.6092,0.0,25.0,1003.3,8.905908,19.44
20200930T0500,24.659199,0.0,27.0,1003.9,8.905908,16.919998
20200930T0600,23.9292,0.0,30.0,1004.5,8.905908,15.84
20200930T0700,24.6192,0.0,32.0,1004.9,8.209263,16.199999
20200930T0800,27.4392,0.0,31.0,1005.4,5.1544156,17.28
20200930T0900,30.7592,0.0,26.0,1005.8,7.8954163,18.72
20200930T1000,34.0192,0.0,21.0,1005.4,11.91812,10.440001
20200930T1100,36.2192,0.0,18.0,1004.5,18.504139,15.119999
20200930T1200,37.139202,0.0,15.0,1003.7,21.915691,17.28
20200930T1300,37.659203,0.0,15.0,1003.0,21.437386,16.919998
20200930T1400,37.9392,0.0,14.0,1001.8,20.696087,16.56
20200930T1500,37.9692,0.0,14.0,1000.8,19.681828,17.64
20200930T1600,37.749203,0.0,14.0,1000.7,17.610588,14.759999
20200930T1700,35.929203,0.0,14.0,1001.8,10.739832,11.5199995
20200930T1800,35.229202,0.0,15.0,1002.2,7.6367526,7.5599995
20200930T1900,34.409203,0.0,16.0,1002.6,5.154415,5.7599998
20200930T2000,33.7892,0.0,16.0,1003.1,5.04,6.12
20200930T2100,33.299202,0.0,17.0,1003.6,6.439876,10.799999
20200930T2200,32.8792,0.0,17.0,1003.5,9.021574,12.959999
20200930T2300,31.7892,0.0,18.0,1003.3,9.028754,14.04
20201001T0000,30.569199,0.0,20.0,1003.3,8.311245,14.4
20201001T0100,29.409199,0.0,21.0,1003.4,7.6367526,12.599999
20201001T0200,28.229198,0.0,23.0,1003.0,7.5599995,14.759999
20201001T0300,27.0092,0.0,24.0,1002.6,7.928178,13.679999
20201001T0400,25.6892,0.0,27.0,1002.9,7.9526596,12.959999
