location,Chennai,Chennai,Chennai,Chennai,Chennai,Chennai
lat,13.06744,13.06744,13.06744,13.06744,13.06744,13.06744
lon,80.25395,80.25395,80.25395,80.25395,80.25395,80.25395
asl,8.800,8.800,8.800,8.800,8.800,8.800
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Chennai Temperature [2 m elevation corrected],Chennai Precipitation Total,Chennai Relative Humidity [2 m],Chennai Mean Sea Level Pressure [MSL],Chennai Wind Speed [10 m],Chennai Wind Gust
20211009T2000,30.0862,1.2,72.0,1006.7,9.693296,15.119999
20211009T2100,29.4662,1.6,72.0,1007.4,12.738099,18.359999
20211009T2200,28.6662,0.2,76.0,1007.1,13.830749,19.44
20211009T2300,28.3062,1.5,78.0,1006.6,12.682018,19.44
20211010T0000,28.0162,1.6,80.0,1006.2,11.923557,15.84
20211010T0100,27.676199,1.7,81.0,1005.5,11.923557,15.84
20211010T0200,27.3562,1.6,83.0,1005.1,11.753877,18.359999
20211010T0300,27.0562,1.2,85.0,1004.6,11.269782,17.28
20211010T0400,26.8062,1.5,87.0,1004.9,12.245293,16.199999
20211010T0500,26.5762,2.0,88.0,1005.4,12.496719,20.16
20211010T0600,26.5662,2.0,85.0,1006.3,9.290511,15.4800005
20211010T0700,26.9662,1.6,83.0,1007.6,8.39657,12.959999
20211010T0800,27.7362,0.8,77.0,1008.3,9.9571085,15.84
20211010T0900,29.6462,0.0,65.0,1008.3,12.074766,19.8
20211010T1000,31.5462,0.0,58.0,1007.2,11.480557,16.56
20211010T1100,32.896202,0.0,53.0,1006.3,9.387651,14.759999
20211010T1200,32.206203,0.8,55.0,1005.7,7.2,12.599999
20211010T1300,32.1962,1.1,55.0,1005.2,5.04,11.879999
20211010T1400,32.0662,1.2,55.0,1004.7,3.2399998,11.5199995
20211010T1500,31.8262,1.2,57.0,1004.3,2.16,10.799999
20211010T1600,31.6162,0.7,58.0,1004.5,1.484318,8.64
20211010T1700,31.5862,0.0,59.0,1004.9,3.0547013,7.5599995
20211010T1800,30.8162,0.0,64.0,1005.3,1.2979984,5.3999996
20211010T1900,30.1962,0.0,68.0,1006.1,3.319036,5.04
20211010T2000,29.5362,0.0,71.0,1006.6,5.4833565,4.68
20211010T2100,28.9762,0.0,74.0,1007.0,5.3517847,5.04
20211010T2200,28.6562,0.0,76.0,1006.5,6.28713,6.4799995
20211010T2300,28.3562,0.0,78.0,1006.2,8.373386,8.64
20211011T0000,28.2062,0.8,80.0,1006.1,7.968939,11.879999
20211011T0100,27.9662,0.2,82.0,1005.3,8.699793,8.28
20211011T0200,27.7062,0.0,84.0,1004.6,7.928177,8.28
20211011T0300,27.426199,0.0,85.0,1004.3,8.14587,9.72
20211011T0400,27.4462,1.0,85.0,1004.9,9.290511,9.36
20211011T0500,27.3862,1.4,85.0,1005.5,10.495713,17.28
20211011T0600,27.1362,0.2,84.0,1006.2,6.519877,14.04
20211011T0700,27.926199,0.0,79.0,1007.1,5.692099,10.440001
20211011T0800,29.676199,0.1,70.0,1007.6,6.3690495,8.64
20211011T0900,31.1462,0.0,62.0,1007.4,3.319036,6.8399997
20211011T1000,31.3162,1.1,61.0,1006.7,4.0249224,8.64
20211011T1100,31.6962,0.4,58.0,1005.7,5.6920996,10.799999
20211011T1200,31.8662,0.3,57.0,1005.2,6.162207,11.159999
20211011T1300,31.7662,0.4,58.0,1004.2,6.193674,10.799999
20211011T1400,31.5562,0.4,59.0,1003.6,7.289445,11.879999
20211011T1500,30.8162,0.5,62.0,1003.1,8.089993,12.24
20211011T1600,30.2662,0.2,67.0,1003.3,7.2359104,5.7599998
20211011T1700,29.8662,0.0,71.0,1003.8,7.0911775,3.96
20211011T1800,29.1662,0.0,75.0,1004.2,7.928178,6.4799995
20211011T1900,28.9762,0.0,76.0,1005.2,5.95906,6.12
20211011T2000,28.9862,0.0,75.0,1005.8,4.8433046,6.12
20211011T2100,29.0362,0.0,74.0,1006.4,4.6800003,6.12
20211011T2200,28.8562,0.0,76.0,1005.9,5.506941,5.04
20211011T2300,28.6662,0.0,77.0,1005.7,6.4799995,6.8399997
20211012T0000,28.5062,0.0,79.0,1005.3,6.519877,10.08
20211012T0100,28.2862,0.0,81.0,1004.2,6.151683,10.440001
20211012T0200,28.2062,0.0,83.0,1003.9,5.5887027,4.68
20211012T0300,28.2762,0.0,83.0,1003.6,5.4477882,3.96
20211012T0400,28.2362,0.0,83.0,1004.1,6.6087217,3.2399998
20211012T0500,28.1662,0.0,82.0,1004.8,7.4128532,4.32
20211012T0600,27.6662,2.7,81.0,1005.3,10.594036,9.0
20211012T0700,28.0762,1.6,75.0,1006.3,10.538843,11.159999
20211012T0800,29.6362,0.5,67.0,1006.9,11.901798,11.5199995
20211012T0900,32.276203,0.0,56.0,1007.2,8.647496,10.08
20211012T1000,33.686203,0.0,50.0,1005.9,4.8965297,7.5599995
20211012T1100,33.4462,0.2,49.0,1005.2,4.452954,5.7599998
20211012T1200,34.396202,0.0,48.0,1004.5,6.489992,6.12
20211012T1300,32.916203,0.9,53.0,1003.8,9.0,7.92
20211012T1400,31.9362,1.1,60.0,1003.3,9.72,7.92
20211012T1500,31.7662,0.4,63.0,1002.9,9.178235,7.92
20211012T1600,31.1962,0.4,67.0,1003.4,9.085988,8.28
20211012T1700,30.5662,0.0,71.0,1004.0,9.220499,7.92
20211012T1800,29.7262,0.0,75.0,1004.4,8.209263,7.92
20211012T1900,29.4862,0.6,76.0,1005.6,7.729527,8.28
20211012T2000,29.2962,1.5,76.0,1006.3,8.699793,9.36
20211012T2100,29.1662,1.8,77.0,1007.1,8.557102,10.08
20211012T2200,28.8962,1.8,81.0,1006.6,7.8625183,12.599999
20211012T2300,28.7762,0.0,83.0,1006.1,8.311245,8.64
20211013T0000,28.5662,0.0,85.0,1005.5,7.9526596,6.4799995
20211013T0100,28.2962,0.0,85.0,1004.6,6.792466,5.7599998
20211013T0200,28.2062,0.0,81.0,1004.2,8.427383,10.799999
20211013T0300,27.9662,0.0,79.0,1003.9,8.905908,12.959999
20211013T0400,27.5662,0.0,80.0,1004.5,9.793058,13.679999
20211013T0500,27.1462,0.0,82.0,1005.3,12.224107,17.28
20211013T0600,26.7762,0.0,79.0,1005.7,14.417988,20.519999
20211013T0700,28.0062,0.0,72.0,1006.6,14.003029,21.24
20211013T0800,30.0262,0.0,64.0,1006.5,12.313894,16.199999
20211013T0900,31.976198,0.0,57.0,1006.9,11.269782,11.159999
20211013T1000,32.076202,0.4,56.0,1006.1,10.446206,10.799999
20211013T1100,32.236202,0.4,56.0,1005.4,9.9571085,10.08
20211013T1200,32.1262,0.9,58.0,1004.7,9.585739,9.72
20211013T1300,31.4762,1.2,62.0,1003.7,9.422101,9.0
20211013T1400,31.9462,1.1,63.0,1003.1,9.085988,10.799999
20211013T1500,31.3962,0.2,65.0,1002.8,9.504273,10.799999
20211013T1600,31.1662,0.0,65.0,1003.2,8.473393,7.5599995
20211013T1700,30.3362,0.0,69.0,1004.0,8.28,6.8399997
20211013T1800,29.4762,0.0,72.0,1004.6,11.620809,8.64
20211013T1900,29.3762,0.2,73.0,1005.7,8.39657,7.5599995
20211013T2000,29.3562,0.0,73.0,1006.1,7.2,6.12
20211013T2100,29.3862,0.3,73.0,1006.4,6.193674,5.3999996
20211013T2200,29.0762,0.4,75.0,1006.1,6.849467,9.0
20211013T2300,28.6362,0.0,79.0,1005.7,10.086427,14.04
20200930T0000,27.7062,0.2,89.0,1005.7,4.510787,13.32
20200930T0100,27.4162,0.0,90.0,1004.8,2.2768397,9.0
20200930T0200,27.1462,0.0,91.0,1004.0,0.8049845,6.4799995
20200930T0300,26.8362,0.0,91.0,1003.3,2.8116899,6.12
20200930T0400,26.676199,1.9,92.0,1004.1,5.6002855,8.28
20200930T0500,26.4962,1.6,94.0,1004.6,8.404285,11.5199995
20200930T0600,26.4362,0.2,92.0,1005.1,9.178235,13.679999
20200930T0700,26.6962,0.0,90.0,1006.1,10.703569,14.4
20200930T0800,26.9862,0.7,90.0,1006.9,11.457958,15.119999
20200930T0900,27.3262,0.6,88.0,1007.6,10.587918,16.56
20200930T1000,27.4462,1.2,86.0,1006.9,10.483357,16.56
20200930T1100,27.5662,1.0,81.0,1006.0,11.304229,15.84
20200930T1200,27.7762,0.0,80.0,1004.9,11.159999,15.119999
20200930T1300,28.1162,0.0,79.0,1003.8,12.57426,18.72
20200930T1400,28.3762,0.0,79.0,1003.3,13.32,18.359999
