location,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
lat,19.04972,19.04972,19.04972,19.04972,19.04972,19.04972
lon,72.87594,72.87594,72.87594,72.87594,72.87594,72.87594
asl,6.200,6.200,6.200,6.200,6.200,6.200
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Mumbai Temperature [2 m elevation corrected],Mumbai Precipitation Total,Mumbai Relative Humidity [2 m],Mumbai Mean Sea Level Pressure [MSL],Mumbai Wind Speed [10 m],Mumbai Wind Gust
20211006T0600,25.5583,0.0,96.0,1007.9,6.162207,15.119999
20211006T0700,25.9283,0.0,94.0,1008.4,6.489992,11.879999
20211006T0800,27.778301,0.0,86.0,1009.0,5.904439,10.799999
20211006T0900,29.9583,0.0,74.0,1009.0,5.8603754,10.440001
20211006T1000,31.8183,0.0,65.0,1008.5,6.4096174,9.72
20211006T1100,31.5583,0.3,63.0,1007.6,6.489992,9.36
20211006T1200,33.1383,0.0,55.0,1006.8,6.8777895,10.799999
20211006T1300,33.6683,0.0,53.0,1006.0,4.198285,9.72
20211006T1400,33.4283,0.0,53.0,1005.2,4.3349743,10.799999
20211006T1500,33.068302,0.3,55.0,1004.7,5.6920996,11.879999
20211006T1600,31.9183,0.6,63.0,1004.6,7.491114,13.679999
20211006T1700,31.4983,0.0,64.0,1005.3,2.9024127,5.7599998
20211006T1800,30.5883,0.0,72.0,1005.5,1.609969,3.96
20211006T1900,30.0883,0.0,75.0,1006.0,0.71999997,2.52
20211006T2000,29.5583,0.0,79.0,1006.3,1.8,1.4399999
20211006T2100,29.0983,0.0,84.0,1006.7,2.8799999,3.2399998
20211006T2200,28.7183,0.0,88.0,1006.8,3.2599385,2.8799999
20211006T2300,28.268301,0.0,93.0,1006.4,2.52,5.7599998
20211007T0000,27.8983,0.0,95.0,1006.1,0.35999998,6.4799995
20211007T0100,27.5383,0.0,96.0,1005.7,2.7416782,7.92
20211007T0200,27.1583,0.0,96.0,1005.3,5.6920996,8.28
20211007T0300,26.8283,0.0,96.0,1005.4,3.9763298,3.96
20211007T0400,26.6183,0.0,96.0,1005.9,3.8773184,3.96
20211007T0500,26.2183,0.0,95.0,1006.5,5.3999996,5.3999996
20211007T0600,25.8783,0.0,95.0,1007.2,4.3349743,5.3999996
20211007T0700,26.0783,0.0,94.0,1007.8,2.1897945,5.04
20211007T0800,27.278301,0.0,88.0,1008.3,1.9386592,5.3999996
20211007T0900,29.0383,0.0,81.0,1008.6,3.8268526,5.7599998
20211007T1000,30.5483,0.0,73.0,1008.3,3.0547013,4.68
20211007T1100,29.6983,1.6,76.0,1007.7,3.7585104,4.68
20211007T1200,30.9683,0.2,68.0,1007.0,2.9024127,3.6
20211007T1300,31.858301,0.0,64.0,1006.0,1.1384199,2.8799999
