location,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad
lat,23.04292,23.04292,23.04292,23.04292,23.04292,23.04292
lon,72.54681,72.54681,72.54681,72.54681,72.54681,72.54681
asl,55.400,55.400,55.400,55.400,55.400,55.400
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Ahmedabad Temperature [2 m elevation corrected],Ahmedabad Precipitation Total,Ahmedabad Relative Humidity [2 m],Ahmedabad Mean Sea Level Pressure [MSL],Ahmedabad Wind Speed [10 m],Ahmedabad Wind Gust
20211005T2300,31.3661,0.0,59.0,1008.3,5.00128,7.2
20211006T0000,30.9161,0.0,61.0,1008.2,4.5820518,7.2
20211006T0100,30.546099,0.0,62.0,1007.9,4.2136917,5.7599998
20211006T0200,30.1561,0.0,64.0,1007.4,4.3349743,9.36
20211006T0300,29.6861,0.0,66.0,1007.1,4.6938257,11.159999
20211006T0400,29.1861,0.0,69.0,1007.3,5.904439,7.92
20211006T0500,28.9461,0.0,67.0,1008.0,6.830519,9.72
20211006T0600,28.6161,0.0,64.0,1008.5,7.771331,11.879999
20211006T0700,29.1461,0.0,60.0,1009.0,9.346143,13.32
20211006T0800,30.7761,0.0,52.0,1009.8,11.720751,15.119999
20211006T0900,32.606102,0.0,48.0,1010.1,11.966953,12.599999
20211006T1000,34.2761,0.0,45.0,1009.5,11.542478,12.959999
20211006T1100,35.3461,0.0,44.0,1008.2,9.659814,11.879999
20211006T1200,36.0661,0.0,42.0,1007.3,9.726664,11.879999
20211006T1300,36.5461,0.0,41.0,1006.6,9.449572,11.5199995
20211006T1400,36.716103,0.0,40.0,1005.8,8.714677,10.440001
20211006T1500,36.6161,0.0,41.0,1005.1,8.0899935,10.08
20211006T1600,36.2561,0.0,42.0,1005.1,8.217153,10.08
20211006T1700,36.1761,0.0,38.0,1005.2,5.815978,8.64
20211006T1800,35.446102,0.0,40.0,1005.7,5.4477882,8.64
20211006T1900,34.7761,0.0,43.0,1006.0,5.904439,6.8399997
20211006T2000,33.986103,0.0,46.0,1006.5,6.792466,9.0
20211006T2100,33.0861,0.0,50.0,1006.9,6.9527545,11.159999
20211006T2200,32.2761,0.0,53.0,1006.9,6.379216,11.159999
20211006T2300,31.6761,0.0,56.0,1006.4,5.0528407,10.08
20211007T0000,31.1561,0.0,59.0,1006.1,3.319036,9.36
20211007T0100,30.8261,0.0,60.0,1006.0,3.096837,9.0
20211007T0200,30.5661,0.0,61.0,1005.8,4.32,9.0
20211007T0300,30.1061,0.0,63.0,1005.5,4.802999,8.64
20211007T0400,29.5161,0.0,65.0,1005.7,5.3999996,11.879999
20211007T0500,28.9361,0.0,68.0,1006.6,5.1165614,3.6
20211007T0600,28.4061,0.0,70.0,1007.3,5.1165614,3.6
20211007T0700,28.8561,0.0,68.0,1007.8,5.1165614,5.04
20211007T0800,30.886099,0.0,56.0,1008.4,8.089993,7.92
20211007T0900,32.896103,0.0,51.0,1008.7,9.779817,8.64
20211007T1000,34.5961,0.0,46.0,1008.3,6.519877,11.879999
20211007T1100,35.396103,0.0,43.0,1007.3,5.0911684,7.5599995
20211007T1200,35.9061,0.0,41.0,1006.5,4.6102495,7.92
20211007T1300,36.3161,0.0,40.0,1005.8,5.634891,7.92
20211007T1400,36.6661,0.0,38.0,1005.0,6.193674,7.5599995
20211007T1500,36.1861,0.1,38.0,1004.4,6.1094027,6.12
20211007T1600,35.896103,0.2,38.0,1004.1,5.00128,4.68
20211007T1700,36.2261,0.0,35.0,1004.0,2.8116899,5.04
20211007T1800,35.5061,0.0,37.0,1004.2,2.5455842,5.7599998
20211007T1900,35.0861,0.0,38.0,1004.7,3.396233,4.32
